lig id,mass,mass status,suitable lig,suitable type,NMP/NDP/NTP,water,complex,small mol,solvent/buffer,linker,covalent
MRD,118.099379688,exact,0,0,2,0,0,0,5,0,0
STD,600.3046809879999,exact,0,0,1,0,0,0,0,0,0
GOA,76.016043988,exact,0,0,3,0,0,0,0,0,0
RUS,,,0,0,0,0,0,0,0,0,19
A5M,,,0,0,0,0,0,0,0,0,22
B8T,,,0,0,0,0,0,0,0,0,10
PCY,558.268964176,exact,2,2,0,0,0,0,0,0,0
O2Z,,,0,0,0,0,0,0,0,0,4
2RW,,,0,0,0,0,0,0,0,0,1
8OS,427.100532546,exact,0,0,7,0,0,0,0,0,1
AM2,539.2802571319999,exact,7,7,0,0,0,0,0,0,0
P1P,,,0,0,0,0,0,0,0,0,2
I2A,2515.241105999998,approximation,0,2,0,0,0,0,0,0,0
C4J,,,0,0,0,0,0,0,0,0,4
V6D,541.297427856,exact,0,1,1,0,0,0,0,0,0
DOC,,,0,0,0,0,0,0,0,0,10
74G,751.33060177209,exact,0,1,0,0,0,0,0,0,0
TPO,,,0,0,0,0,0,0,0,0,16
FOU,,,0,0,0,0,0,0,0,0,2
AZA,153.028674336,exact,0,1,0,0,0,0,0,0,0
DJF,,,0,0,0,0,0,0,0,0,1
U37,,,0,0,0,0,0,0,0,0,10
PQ1,,,0,0,0,0,0,0,0,0,2
9DG,150.054160812,exact,0,2,0,0,0,0,0,0,0
ZIT,748.5085257439999,exact,0,3,0,0,0,0,0,0,0
GAI,59.04834715999999,exact,0,0,0,0,0,0,11,0,0
NVP,266.116761068,exact,0,0,5,0,0,0,0,0,0
GET,496.27444347999995,exact,7,7,0,0,0,0,0,0,0
EDE,781.444637088,exact,0,1,1,0,0,0,0,0,0
Q61,,,0,0,0,0,0,0,0,0,8
EVP,588.1842910839999,exact,0,1,0,0,0,0,0,0,0
RCG,505.2100523319999,exact,0,1,1,0,0,0,0,0,0
EKJ,407.16565088017995,exact,3,3,0,0,0,0,0,0,0
GLP,259.04570303800006,exact,7,7,0,0,0,0,0,0,0
CME,,,0,0,0,0,0,0,0,0,6
02I,,,0,0,0,0,0,0,0,0,4
CLM,322.012326844,exact,2,2,0,0,0,0,0,0,0
UBD,404.0021971479999,exact,0,0,0,0,0,0,0,0,1
KSG,379.15907937999987,exact,1,1,0,0,0,0,0,0,0
29G,162.06539419199999,exact,0,1,0,0,0,0,0,0,0
NEB,,,0,0,0,0,0,0,0,0,2
3AU,,,0,0,0,0,0,0,0,0,2
2ZY,320.058418628,exact,2,2,0,0,0,0,0,0,0
MNE,216.44689499999996,approximation,1,1,0,0,0,0,0,0,0
TYE,167.094628656,exact,0,1,0,0,0,0,0,0,0
G7M,,,0,0,0,0,0,0,0,0,66
747,281.061197588,exact,2,2,0,0,0,0,0,0,0
V6T,396.19178273209,exact,1,1,0,0,0,0,0,0,0
62B,507.30184453999993,exact,1,1,0,0,0,0,0,0,0
NEG,248.14845512,exact,0,0,0,0,0,1,0,0,0
DUT,467.97361304999987,exact,0,0,2,0,0,0,0,0,0
